06/03/20,Finest,Mirage,14 - 16,L
06/03/20,Finest,Inferno,4 - 16,L
06/03/20,Finest,Dust2,19 - 16,W
05/03/20,NASR,Mirage,16 - 6,W
05/03/20,NASR,Train,4 - 16,L
05/03/20,NASR,Inferno,16 - 10,W
05/03/20,Yalla,Nuke,14 - 16,L
05/03/20,Yalla,Overpass,9 - 16,L
05/03/20,Yalla,Inferno,16 - 6,W
16/02/20,Gaming Hub,Train,16 - 9,W
16/02/20,Gaming Hub,Mirage,16 - 7,W
05/12/19,mousesports,Dust2,6 - 16,L
05/12/19,mousesports,Vertigo,5 - 16,L
05/12/19,G2,Inferno,16 - 6,W
05/12/19,G2,Train,16 - 13,W
05/12/19,G2,Vertigo,4 - 16,L
04/12/19,North,Vertigo,16 - 8,W
04/12/19,North,Overpass,16 - 9,W
03/12/19,mousesports,Nuke,9 - 16,L
16/11/19,DETONA,Inferno,16 - 12,W
16/11/19,DETONA,Dust2,12 - 16,L
16/11/19,DETONA,Overpass,16 - 9,W
15/11/19,Singularity,Nuke,16 - 7,W
15/11/19,Singularity,Overpass,16 - 7,W
14/11/19,Envy,Nuke,16 - 14,W
14/11/19,Envy,Overpass,16 - 14,W
30/10/19,MIBR,Inferno,8 - 16,L
30/10/19,MIBR,Mirage,19 - 22,L
29/10/19,Riot Squad,Nuke,16 - 13,W
29/10/19,Riot Squad,Overpass,16 - 12,W
24/10/19,Liquid,Overpass,11 - 16,L
24/10/19,Liquid,Inferno,12 - 16,L
24/10/19,Liquid,Dust2,19 - 17,W
23/10/19,Complexity,Inferno,16 - 2,W
23/10/19,Complexity,Nuke,16 - 14,W
22/10/19,eUnited,Dust2,16 - 8,W
22/10/19,eUnited,Overpass,8 - 16,L
22/10/19,eUnited,Inferno,16 - 6,W
17/10/19,Singularity,Inferno,16 - 14,W
17/10/19,Singularity,Dust2,11 - 16,L
17/10/19,Singularity,Train,16 - 10,W
16/10/19,Renegades,Train,6 - 16,L
16/10/19,Renegades,Dust2,7 - 16,L
15/10/19,Complexity,Dust2,13 - 16,L
15/10/19,Complexity,Vertigo,13 - 16,L
15/10/19,Liquid,Dust2,3 - 16,L
15/10/19,Liquid,Vertigo,5 - 16,L
13/10/19,Riot Squad,Overpass,7 - 16,L
13/10/19,Riot Squad,Nuke,10 - 16,L
04/10/19,Peeker's Advantage,Dust2,16 - 10,W
03/10/19,Sharks,Inferno,16 - 7,W
03/10/19,Sharks,Train,16 - 12,W
01/10/19,MIBR,Vertigo,16 - 8,W
01/10/19,MIBR,Dust2,16 - 11,W
01/10/19,MIBR,Overpass,9 - 16,L
30/09/19,INTZ,Overpass,16 - 14,W
30/09/19,INTZ,Mirage,16 - 11,W
20/09/19,INTZ,Overpass,16 - 10,W
17/09/19,Mythic,Overpass,16 - 4,W
16/09/19,Sharks,Vertigo,10 - 16,L
16/09/19,Sharks,Train,16 - 10,W
16/09/19,Sharks,Dust2,9 - 16,L
13/09/19,Riot Squad,Vertigo,16 - 8,W
13/09/19,Riot Squad,Mirage,16 - 9,W
12/09/19,TeamOne,Dust2,16 - 8,W
12/09/19,TeamOne,Mirage,13 - 16,L
12/09/19,TeamOne,Overpass,16 - 6,W
12/09/19,Swole Patrol,Dust2,19 - 17,W
12/09/19,Swole Patrol,Mirage,16 - 14,W
12/09/19,Swole Patrol,Inferno,12 - 16,L
12/09/19,Monstars,Dust2,16 - 11,W
12/09/19,Monstars,Mirage,16 - 5,W
11/09/19,Oceanus,Dust2,16 - 2,W
11/09/19,Oceanus,Mirage,16 - 9,W
11/09/19,Sharks,Train,10 - 16,L
11/09/19,Sharks,Inferno,16 - 19,L
11/09/19,Party Astronauts,Inferno,16 - 5,W
11/09/19,LiViD,Inferno,16 - 6,W
