08/03/20,TYLOO,Dust2,12 - 16,L
08/03/20,TYLOO,Mirage,7 - 16,L
08/03/20,JiJieHao,Train,16 - 10,W
08/03/20,JiJieHao,Nuke,14 - 16,L
08/03/20,JiJieHao,Mirage,25 - 22,W
07/03/20,ViCi,Overpass,8 - 16,L
07/03/20,ViCi,Nuke,17 - 19,L
07/03/20,ViCi,Mirage,19 - 16,W
07/03/20,OneThree,Train,16 - 10,W
07/03/20,OneThree,Nuke,16 - 5,W
05/03/20,Invictus,Nuke,16 - 14,W
05/03/20,Invictus,Mirage,16 - 4,W
01/02/20,Aster,Overpass,16 - 12,W
01/02/20,Aster,Inferno,16 - 6,W
19/12/19,Heroic,Nuke,1 - 16,L
19/12/19,Heroic,Inferno,5 - 16,L
17/12/19,Vitality,Nuke,1 - 16,L
17/12/19,Vitality,Inferno,12 - 16,L
11/12/19,ViCi,Overpass,24 - 28,L
11/12/19,4Bowie,Inferno,13 - 16,L
11/12/19,OneThree,Dust2,9 - 16,L
11/12/19,TYLOO,Inferno,7 - 16,L
11/12/19,L9L,Inferno,16 - 5,W
09/12/19,Az,Train,16 - 12,W
07/12/19,OneThree,Nuke,10 - 16,L
26/11/19,R-Stars,Dust2,13 - 16,L
26/11/19,R-Stars,Mirage,13 - 16,L
26/11/19,TYLOO,Mirage,13 - 16,L
26/11/19,TYLOO,Dust2,12 - 16,L
23/11/19,Aster,Mirage,16 - 2,W
23/11/19,Aster,Train,16 - 9,W
22/11/19,R-Stars,Overpass,13 - 16,L
22/11/19,R-Stars,Train,8 - 16,L
22/11/19,R-Stars,Dust2,16 - 10,W
13/11/19,TYLOO,Inferno,16 - 10,W
13/11/19,TYLOO,Overpass,16 - 7,W
13/11/19,OneThree,Nuke,16 - 10,W
13/11/19,OneThree,Inferno,16 - 7,W
13/11/19,TYLOO,Train,12 - 16,L
13/11/19,TYLOO,Overpass,7 - 16,L
12/11/19,OneThree,Train,16 - 11,W
12/11/19,OneThree,Nuke,16 - 13,W
12/11/19,OneThree,Mirage,8 - 16,L
06/11/19,Aster,Mirage,16 - 10,W
06/11/19,Aster,Dust2,16 - 6,W
06/11/19,D7G,Mirage,16 - 9,W
06/11/19,D7G,Train,16 - 5,W
04/11/19,TYLOO,Train,8 - 16,L
04/11/19,TYLOO,Overpass,9 - 16,L
03/11/19,ViCi,Nuke,14 - 16,L
03/11/19,ViCi,Mirage,14 - 16,L
03/11/19,ViCi,Inferno,10 - 16,L
02/11/19,ViCi,Mirage,16 - 10,W
02/11/19,ViCi,Train,16 - 10,W
01/11/19,Invictus,Train,16 - 9,W
01/11/19,Invictus,Nuke,16 - 14,W
01/11/19,Aster,Overpass,16 - 14,W
01/11/19,Aster,Dust2,19 - 17,W
20/10/19,TYLOO,Mirage,6 - 16,L
20/10/19,TYLOO,Dust2,7 - 16,L
20/10/19,ViCi,Train,6 - 16,L
20/10/19,ViCi,Inferno,12 - 16,L
20/10/19,ViCi,Nuke,19 - 17,W
19/10/19,OneThree,Train,16 - 11,W
19/10/19,OneThree,Inferno,13 - 16,L
19/10/19,OneThree,Mirage,16 - 11,W
13/10/19,ViCi,Overpass,16 - 5,W
13/10/19,ViCi,Inferno,19 - 17,W
12/10/19,Lynn Vision,Overpass,16 - 14,W
12/10/19,Lynn Vision,Nuke,16 - 7,W
03/10/19,5POWER,Train,14 - 16,L
03/10/19,5POWER,Dust2,14 - 16,L
03/10/19,5POWER,Inferno,19 - 16,W
30/09/19,Invictus,Train,5 - 16,L
30/09/19,Invictus,Overpass,9 - 16,L
28/09/19,JiJieHao,Inferno,16 - 6,W
28/09/19,JiJieHao,Nuke,11 - 16,L
28/09/19,JiJieHao,Mirage,16 - 14,W
27/09/19,AUGUST,Dust2,19 - 17,W
27/09/19,AUGUST,Overpass,16 - 14,W
26/09/19,Invictus,Train,13 - 16,L
26/09/19,Invictus,Nuke,6 - 16,L
22/09/19,TYLOO,Inferno,9 - 16,L
22/09/19,TYLOO,Dust2,10 - 16,L
22/09/19,TYLOO,Mirage,16 - 13,W
22/09/19,Predator,Nuke,16 - 5,W
22/09/19,Predator,Overpass,16 - 12,W
22/09/19,5POWER,Mirage,13 - 16,L
22/09/19,5POWER,Dust2,7 - 16,L
18/09/19,JiJieHao,Nuke,16 - 10,W
18/09/19,JiJieHao,Mirage,19 - 16,W
17/09/19,Lynn Vision,Overpass,16 - 14,W
17/09/19,Lynn Vision,Nuke,16 - 8,W
17/09/19,Lynn Vision,Inferno,10 - 16,L
