05/03/20,forZe,Mirage,16 - 13,W
05/03/20,forZe,Vertigo,16 - 14,W
05/03/20,HellRaisers,Overpass,19 - 17,W
05/03/20,HellRaisers,Train,16 - 6,W
16/02/20,Gambit Youngsters,Dust2,9 - 16,L
16/02/20,Gambit Youngsters,Mirage,18 - 22,L
16/02/20,Gambit Youngsters,Overpass,16 - 12,W
16/02/20,AVEZ,Vertigo,13 - 16,L
16/02/20,AVEZ,Train,6 - 16,L
16/02/20,AVEZ,Dust2,16 - 5,W
15/02/20,sAw,Overpass,16 - 9,W
15/02/20,sAw,Nuke,16 - 11,W
14/02/20,ex-Virtus.pro,Vertigo,16 - 13,W
14/02/20,ex-Virtus.pro,Train,16 - 7,W
14/02/20,Endpoint,Overpass,16 - 10,W
14/02/20,Endpoint,Vertigo,13 - 16,L
14/02/20,Endpoint,Train,22 - 20,W
19/01/20,forZe,Train,14 - 16,L
19/01/20,forZe,Nuke,19 - 17,W
19/01/20,forZe,Dust2,9 - 16,L
18/01/20,pro100,Train,16 - 12,W
18/01/20,pro100,Dust2,16 - 14,W
18/01/20,Illuminar,Overpass,16 - 12,W
11/01/20,Gambit Youngsters,Overpass,10 - 16,L
11/01/20,Gambit Youngsters,Dust2,11 - 16,L
11/01/20,Na`Vi Junior,Dust2,22 - 20,W
07/01/20,MAD Lions,Train,13 - 16,L
22/12/19,AGO,Nuke,12 - 16,L
22/12/19,AGO,Train,8 - 16,L
21/12/19,HAVU,Dust2,16 - 11,W
21/12/19,HAVU,Nuke,16 - 12,W
21/12/19,HAVU,Overpass,10 - 16,L
16/12/19,Wisla Krakow,Dust2,16 - 4,W
16/12/19,Wisla Krakow,Mirage,16 - 12,W
12/12/19,PACT,Vertigo,16 - 13,W
12/12/19,PACT,Mirage,16 - 3,W
10/12/19,Heroic,Vertigo,17 - 19,L
09/12/19,PACT,Dust2,22 - 20,W
09/12/19,PACT,Inferno,5 - 16,L
09/12/19,PACT,Vertigo,16 - 12,W
04/12/19,AGO,Inferno,14 - 16,L
04/12/19,AGO,Dust2,10 - 16,L
27/11/19,Wisla Krakow,Inferno,14 - 16,L
27/11/19,Wisla Krakow,Overpass,13 - 16,L
23/11/19,Unique,Vertigo,16 - 2,W
23/11/19,Unique,Nuke,16 - 12,W
22/11/19,Copenhagen Flames,Nuke,16 - 19,L
22/11/19,Copenhagen Flames,Overpass,16 - 11,W
22/11/19,Copenhagen Flames,Train,2 - 16,L
19/11/19,m1x,Dust2,16 - 9,W
19/11/19,m1x,Vertigo,16 - 3,W
16/11/19,forZe,Dust2,10 - 16,L
16/11/19,forZe,Train,16 - 14,W
16/11/19,forZe,Nuke,3 - 16,L
15/11/19,GamerLegion,Dust2,10 - 16,L
12/11/19,Nordavind,Overpass,16 - 10,W
12/11/19,Nordavind,Nuke,22 - 20,W
11/11/19,Gambit Youngsters,Dust2,5 - 16,L
11/11/19,Gambit Youngsters,Vertigo,8 - 16,L
30/10/19,Windigo,Dust2,10 - 16,L
30/10/19,Windigo,Overpass,10 - 16,L
30/10/19,Windigo,Vertigo,16 - 14,W
27/10/19,Syman,Inferno,11 - 16,L
27/10/19,Syman,Dust2,11 - 16,L
14/10/19,Na`Vi Junior,Mirage,22 - 20,W
14/10/19,Na`Vi Junior,Nuke,16 - 8,W
13/10/19,OG GANG SQUAD,Nuke,16 - 6,W
13/10/19,OG GANG SQUAD,Train,16 - 11,W
13/10/19,Se7en,Nuke,19 - 16,W
13/10/19,Se7en,Overpass,14 - 16,L
13/10/19,Se7en,Dust2,16 - 4,W
12/10/19,Syman,Vertigo,5 - 16,L
12/10/19,Syman,Overpass,11 - 16,L
10/10/19,Tricked,Dust2,16 - 7,W
10/10/19,Tricked,Nuke,16 - 14,W
08/10/19,Aristocracy,Dust2,14 - 16,L
08/10/19,Aristocracy,Overpass,10 - 16,L
08/10/19,Aristocracy,Nuke,16 - 3,W
07/10/19,Na`Vi Junior,Mirage,16 - 12,W
07/10/19,Na`Vi Junior,Overpass,16 - 6,W
