29/11/19,NiP,Overpass,6 - 16,L
29/11/19,NiP,Train,12 - 16,L
28/11/19,Evil Geniuses,Dust2,10 - 16,L
23/11/19,MIBR,Dust2,15 - 19,L
23/11/19,MIBR,Train,12 - 16,L
23/11/19,MIBR,Mirage,16 - 9,W
21/11/19,ViCi,Train,16 - 10,W
21/11/19,ViCi,Mirage,16 - 12,W
21/11/19,ViCi,Inferno,17 - 19,L
20/11/19,mousesports,Inferno,11 - 16,L
20/11/19,mousesports,Dust2,11 - 16,L
17/11/19,Syman,Mirage,16 - 13,W
17/11/19,Syman,Train,16 - 10,W
16/11/19,Syman,Dust2,14 - 16,L
16/11/19,Revolution,Train,16 - 6,W
16/11/19,Uzbekistan,Dust2,16 - 1,W
16/11/19,Project Major,Train,16 - 1,W
16/11/19,Galkynysh,Dust2,16 - 0,W
12/11/19,HAVU,Overpass,12 - 16,L
12/11/19,HAVU,Train,13 - 16,L
11/11/19,Nemiga,Overpass,16 - 11,W
11/11/19,Nemiga,Dust2,13 - 16,L
11/11/19,Nemiga,Inferno,16 - 10,W
11/11/19,CR4ZY,Dust2,14 - 16,L
11/11/19,CR4ZY,Train,16 - 9,W
11/11/19,CR4ZY,Mirage,8 - 16,L
08/11/19,Heretics,Dust2,16 - 12,W
07/11/19,pro100,Dust2,16 - 9,W
07/11/19,Virtus.pro,Train,16 - 7,W
07/11/19,forZe,Overpass,7 - 16,L
06/11/19,Tricked,Inferno,13 - 16,L
06/11/19,Spirit,Mirage,14 - 16,L
06/11/19,CR4ZY,Dust2,28 - 25,W
29/10/19,Nemiga,Dust2,16 - 0,W
23/10/19,FURIA,Overpass,13 - 16,L
23/10/19,FURIA,Mirage,16 - 13,W
23/10/19,FURIA,Inferno,12 - 16,L
22/10/19,G2,Train,16 - 19,L
22/10/19,G2,Vertigo,11 - 16,L
22/10/19,Heroic,Overpass,19 - 15,W
22/10/19,Heroic,Train,16 - 9,W
20/10/19,CR4ZY,Inferno,10 - 16,L
20/10/19,CR4ZY,Dust2,16 - 14,W
20/10/19,CR4ZY,Mirage,13 - 16,L
18/10/19,Heroic,Inferno,16 - 14,W
18/10/19,Besiktas,Overpass,16 - 2,W
16/10/19,Illuminar,Mirage,16 - 8,W
16/10/19,GamerLegion,Overpass,13 - 16,L
15/10/19,Demise,Inferno,16 - 6,W
10/10/19,PACT,Vertigo,16 - 7,W
10/10/19,Japaleno,Dust2,13 - 16,L
08/10/19,HAVU,Inferno,16 - 5,W
08/10/19,ex-Epsilon,Dust2,16 - 7,W
03/10/19,Movistar Riders,Nuke,16 - 7,W
02/10/19,Heroic,Inferno,17 - 19,L
02/10/19,Heroic,Dust2,16 - 19,L
02/10/19,AGO,Inferno,16 - 14,W
30/09/19,m1x,Inferno,16 - 12,W
30/09/19,m1x,Dust2,16 - 12,W
30/09/19,m1x,Mirage,16 - 19,L
19/09/19,forZe,Train,16 - 3,W
19/09/19,forZe,Inferno,14 - 16,L
19/09/19,forZe,Dust2,16 - 9,W
17/09/19,fnatic,Train,16 - 13,W
17/09/19,fnatic,Dust2,6 - 16,L
17/09/19,fnatic,Mirage,16 - 14,W
17/09/19,Illuminar,Vertigo,13 - 16,L
17/09/19,Illuminar,Inferno,9 - 16,L
16/09/19,Virtus.pro,Inferno,16 - 6,W
16/09/19,Virtus.pro,Dust2,16 - 11,W
16/09/19,Virtus.pro,Mirage,13 - 16,L
16/09/19,BIG,Inferno,11 - 16,L
14/09/19,forZe,Dust2,16 - 6,W
14/09/19,forZe,Inferno,12 - 16,L
14/09/19,forZe,Overpass,16 - 13,W
14/09/19,ENCE,Dust2,16 - 13,W
14/09/19,MIBR,Mirage,16 - 9,W
14/09/19,Natus Vincere,Inferno,16 - 12,W
13/09/19,forZe,Dust2,14 - 16,L
13/09/19,NiP,Overpass,12 - 16,L
08/09/19,Astralis,Dust2,5 - 16,L
08/09/19,Astralis,Inferno,6 - 16,L
