08/03/20,Movistar Riders,Inferno,4 - 16,L
08/03/20,Movistar Riders,Mirage,16 - 11,W
08/03/20,Movistar Riders,Overpass,20 - 22,L
07/03/20,NiP,Vertigo,11 - 16,L
07/03/20,NiP,Inferno,10 - 16,L
07/03/20,Nordavind,Inferno,16 - 3,W
07/03/20,Nordavind,Mirage,16 - 6,W
05/03/20,HAVU,Dust2,16 - 13,W
05/03/20,HAVU,Mirage,16 - 12,W
04/03/20,DETONA,Mirage,16 - 10,W
04/03/20,DETONA,Inferno,16 - 8,W
04/03/20,AVEZ,Vertigo,16 - 14,W
04/03/20,AVEZ,Inferno,16 - 11,W
03/03/20,DETONA,Dust2,11 - 16,L
24/02/20,pro100,Mirage,13 - 16,L
23/02/20,Wisla Krakow,Nuke,16 - 2,W
20/02/20,Nordavind,Inferno,16 - 9,W
20/02/20,Spirit,Mirage,10 - 16,L
20/02/20,HellRaisers,Mirage,16 - 11,W
18/02/20,Singularity,Nuke,16 - 13,W
18/02/20,HAVU,Nuke,16 - 11,W
12/02/20,Nemiga,Inferno,16 - 13,W
01/02/20,Complexity,Dust2,16 - 9,W
01/02/20,Complexity,Inferno,16 - 7,W
01/02/20,Complexity,Mirage,10 - 16,L
01/02/20,Secret,Nuke,16 - 9,W
31/01/20,FATE,Inferno,16 - 5,W
26/01/20,Renegades,Dust2,16 - 12,W
26/01/20,Renegades,Mirage,16 - 5,W
26/01/20,Heroic,Inferno,16 - 12,W
26/01/20,Heroic,Overpass,16 - 9,W
24/01/20,Renegades,Nuke,16 - 8,W
24/01/20,Virtus.pro,Inferno,16 - 8,W
18/01/20,AVEZ,Nuke,7 - 16,L
18/01/20,AVEZ,Dust2,12 - 16,L
18/01/20,AVEZ,Vertigo,19 - 16,W
18/01/20,x6tence,Inferno,16 - 9,W
13/01/20,Sprout,Vertigo,20 - 22,L
13/01/20,Sprout,Dust2,11 - 16,L
22/12/19,Movistar Riders,Mirage,14 - 16,L
22/12/19,Movistar Riders,Overpass,10 - 16,L
21/12/19,KPI,Mirage,16 - 13,W
21/12/19,KPI,Nuke,16 - 14,W
21/12/19,KPI,Inferno,13 - 16,L
20/12/19,Spirit,Mirage,15 - 19,L
20/12/19,Spirit,Nuke,16 - 10,W
20/12/19,Spirit,Dust2,11 - 16,L
19/12/19,G2,Inferno,12 - 16,L
14/12/19,Movistar Riders,Overpass,16 - 19,L
14/12/19,Movistar Riders,Mirage,15 - 19,L
13/12/19,North,Nuke,16 - 19,L
11/12/19,Heroic,Nuke,10 - 16,L
11/12/19,Heroic,Mirage,13 - 16,L
11/12/19,Sprout,Mirage,16 - 11,W
11/12/19,Sprout,Nuke,16 - 1,W
10/12/19,MELBET,Nuke,16 - 13,W
10/12/19,Secret,Nuke,16 - 12,W
08/12/19,Brute,Mirage,16 - 10,W
08/12/19,Brute,Nuke,16 - 14,W
24/11/19,Copenhagen Flames,Mirage,16 - 13,W
24/11/19,Copenhagen Flames,Inferno,16 - 10,W
22/11/19,Hard Legion,Train,4 - 16,L
22/11/19,Hard Legion,Inferno,13 - 16,L
20/11/19,ex-Windigo,Mirage,16 - 12,W
20/11/19,ex-Windigo,Dust2,19 - 16,W
15/11/19,G2,Dust2,6 - 16,L
15/11/19,G2,Inferno,12 - 16,L
14/11/19,NiP,Nuke,16 - 19,L
14/11/19,NiP,Train,1 - 16,L
13/11/19,North,Nuke,21 - 25,L
13/11/19,North,Train,14 - 16,L
13/11/19,North,Mirage,16 - 7,W
10/11/19,SMASH,Nuke,16 - 5,W
10/11/19,SMASH,Inferno,16 - 10,W
05/11/19,Virtus.pro,Overpass,25 - 21,W
05/11/19,Virtus.pro,Nuke,16 - 12,W
03/11/19,GamerLegion,Dust2,19 - 17,W
03/11/19,GamerLegion,Train,16 - 12,W
03/11/19,GamerLegion,Overpass,18 - 22,L
03/11/19,Illuminar,Mirage,16 - 1,W
03/11/19,Illuminar,Nuke,16 - 2,W
03/11/19,Illuminar,Train,14 - 16,L
03/11/19,Nordavind,Dust2,16 - 10,W
03/11/19,Nordavind,Overpass,16 - 12,W
28/10/19,fnatic,Train,11 - 16,L
28/10/19,fnatic,Inferno,11 - 16,L
24/10/19,Astralis,Train,14 - 16,L
24/10/19,Astralis,Dust2,16 - 11,W
24/10/19,Astralis,Nuke,3 - 16,L
23/10/19,Tricked,Dust2,16 - 2,W
23/10/19,Tricked,Overpass,16 - 9,W
21/10/19,North,Inferno,16 - 4,W
21/10/19,North,Mirage,16 - 6,W
16/10/19,NiP,Nuke,3 - 16,L
16/10/19,NiP,Inferno,16 - 9,W
16/10/19,NiP,Mirage,8 - 16,L
14/10/19,FaZe,Train,16 - 5,W
14/10/19,FaZe,Nuke,16 - 12,W
14/10/19,FaZe,Inferno,4 - 16,L
10/10/19,OpTic,Mirage,19 - 15,W
10/10/19,OpTic,Overpass,16 - 13,W
09/10/19,FaZe,Inferno,8 - 16,L
09/10/19,FaZe,Mirage,16 - 14,W
09/10/19,FaZe,Nuke,11 - 16,L
08/10/19,mousesports,Inferno,12 - 16,L
08/10/19,mousesports,Dust2,16 - 7,W
08/10/19,mousesports,Train,13 - 16,L
04/10/19,Sprout,Inferno,13 - 16,L
04/10/19,Sprout,Overpass,13 - 16,L
04/10/19,Sprout,Nuke,16 - 13,W
30/09/19,Heroic,Nuke,10 - 16,L
30/09/19,Heroic,Dust2,13 - 16,L
22/09/19,OpTic,Nuke,16 - 6,W
22/09/19,OpTic,Mirage,16 - 13,W
20/09/19,FURIA,Nuke,13 - 16,L
20/09/19,FURIA,Train,9 - 16,L
20/09/19,AGO,Nuke,16 - 12,W
20/09/19,AGO,Dust2,28 - 25,W
20/09/19,FURIA,Overpass,7 - 16,L
16/09/19,Gambit Youngsters,Mirage,16 - 5,W
16/09/19,Gambit Youngsters,Dust2,16 - 11,W
16/09/19,AVANGAR,Inferno,16 - 11,W
12/09/19,forZe,Overpass,16 - 12,W
12/09/19,forZe,Mirage,16 - 10,W
12/09/19,GamerLegion,Train,16 - 8,W
12/09/19,GamerLegion,Inferno,16 - 9,W
11/09/19,Espada,Overpass,16 - 3,W
11/09/19,Espada,Train,16 - 7,W
