01/03/20,Natus Vincere,Mirage,2 - 16,L
01/03/20,Natus Vincere,Dust2,13 - 16,L
01/03/20,Natus Vincere,Nuke,4 - 16,L
29/02/20,fnatic,Train,16 - 12,W
29/02/20,fnatic,Dust2,11 - 16,L
29/02/20,fnatic,Inferno,16 - 12,W
27/02/20,Liquid,Vertigo,16 - 10,W
27/02/20,Liquid,Dust2,16 - 11,W
26/02/20,mousesports,Nuke,16 - 7,W
26/02/20,mousesports,Inferno,16 - 6,W
26/02/20,mousesports,Dust2,13 - 16,L
24/02/20,100 Thieves,Dust2,16 - 2,W
24/02/20,100 Thieves,Mirage,16 - 3,W
16/02/20,OG,Nuke,16 - 14,W
16/02/20,OG,Dust2,5 - 16,L
16/02/20,OG,Inferno,16 - 7,W
15/02/20,OG,Dust2,16 - 6,W
15/02/20,OG,Nuke,16 - 8,W
14/02/20,100 Thieves,Vertigo,16 - 12,W
14/02/20,100 Thieves,Dust2,16 - 13,W
09/01/20,MAD Lions,Nuke,16 - 13,W
09/01/20,MAD Lions,Dust2,16 - 14,W
09/01/20,MAD Lions,Train,20 - 22,L
09/01/20,AGO,Dust2,16 - 10,W
09/01/20,AGO,Vertigo,14 - 16,L
09/01/20,AGO,Mirage,16 - 12,W
22/12/19,Spirit,Mirage,16 - 11,W
22/12/19,Spirit,Train,16 - 13,W
21/12/19,ENCE,Train,19 - 17,W
21/12/19,ENCE,Dust2,14 - 16,L
21/12/19,ENCE,Mirage,16 - 13,W
19/12/19,Hard Legion,Mirage,16 - 7,W
19/12/19,Hard Legion,Vertigo,16 - 9,W
19/12/19,BIG,Inferno,16 - 12,W
16/12/19,mousesports,Train,14 - 16,L
16/12/19,mousesports,Vertigo,16 - 1,W
16/12/19,mousesports,Mirage,17 - 19,L
15/12/19,Virtus.pro,Train,16 - 12,W
15/12/19,Virtus.pro,Nuke,16 - 7,W
15/12/19,Virtus.pro,Vertigo,12 - 16,L
14/12/19,Virtus.pro,Vertigo,16 - 2,W
14/12/19,Virtus.pro,Train,16 - 8,W
13/12/19,mousesports,Dust2,16 - 3,W
13/12/19,mousesports,Vertigo,16 - 2,W
13/12/19,OG,Nuke,14 - 16,L
13/12/19,OG,Train,16 - 9,W
13/12/19,MIBR,Train,16 - 3,W
13/12/19,MIBR,Vertigo,11 - 16,L
13/12/19,FURIA,Nuke,16 - 11,W
13/12/19,FURIA,Vertigo,16 - 14,W
05/12/19,ATK,Inferno,6 - 16,L
05/12/19,ATK,Train,13 - 16,L
05/12/19,ATK,Vertigo,16 - 4,W
04/12/19,Astralis,Train,14 - 16,L
04/12/19,Astralis,Inferno,15 - 19,L
04/12/19,Astralis,Dust2,16 - 13,W
03/12/19,Sharks,Inferno,16 - 13,W
21/11/19,Evil Geniuses,Overpass,5 - 16,L
21/11/19,Evil Geniuses,Mirage,5 - 16,L
21/11/19,Evil Geniuses,Dust2,16 - 5,W
20/11/19,TYLOO,Dust2,10 - 16,L
20/11/19,TYLOO,Vertigo,14 - 16,L
15/11/19,BIG,Dust2,16 - 6,W
15/11/19,BIG,Inferno,16 - 12,W
14/11/19,North,Dust2,16 - 14,W
14/11/19,North,Train,16 - 8,W
13/11/19,NiP,Mirage,8 - 16,L
13/11/19,NiP,Inferno,13 - 16,L
13/11/19,NiP,Dust2,16 - 11,W
26/10/19,FURIA,Mirage,14 - 16,L
26/10/19,FURIA,Vertigo,14 - 16,L
25/10/19,fnatic,Mirage,12 - 16,L
25/10/19,fnatic,Dust2,16 - 14,W
25/10/19,fnatic,Overpass,11 - 16,L
24/10/19,NiP,Overpass,16 - 10,W
24/10/19,NiP,Dust2,16 - 12,W
22/10/19,AVANGAR,Train,19 - 16,W
22/10/19,AVANGAR,Vertigo,16 - 11,W
22/10/19,Natus Vincere,Nuke,16 - 11,W
22/10/19,Natus Vincere,Overpass,13 - 16,L
22/10/19,Natus Vincere,Dust2,22 - 20,W
19/10/19,Natus Vincere,Dust2,13 - 16,L
19/10/19,Natus Vincere,Mirage,16 - 14,W
19/10/19,Natus Vincere,Overpass,10 - 16,L
18/10/19,HellRaisers,Dust2,16 - 10,W
18/10/19,HellRaisers,Vertigo,16 - 13,W
17/10/19,Windigo,Nuke,16 - 13,W
17/10/19,Windigo,Mirage,16 - 14,W
02/10/19,fnatic,Train,5 - 16,L
02/10/19,fnatic,Inferno,4 - 16,L
01/10/19,Astralis,Dust2,7 - 16,L
01/10/19,Astralis,Nuke,16 - 19,L
01/10/19,FURIA,Train,16 - 14,W
28/09/19,Evil Geniuses,Nuke,7 - 16,L
28/09/19,Evil Geniuses,Dust2,8 - 16,L
27/09/19,ENCE,Overpass,16 - 11,W
27/09/19,ENCE,Nuke,11 - 16,L
27/09/19,ENCE,Dust2,19 - 17,W
26/09/19,Liquid,Overpass,8 - 16,L
26/09/19,Liquid,Inferno,19 - 17,W
26/09/19,Liquid,Dust2,3 - 16,L
26/09/19,ENCE,Nuke,16 - 14,W
26/09/19,ENCE,Dust2,19 - 17,W
20/09/19,forZe,Overpass,14 - 16,L
20/09/19,forZe,Dust2,16 - 13,W
20/09/19,forZe,Nuke,8 - 16,L
17/09/19,GamerLegion,Train,22 - 20,W
17/09/19,GamerLegion,Dust2,16 - 11,W
17/09/19,GamerLegion,Overpass,14 - 16,L
17/09/19,One More Time,Dust2,16 - 8,W
