27/02/20,100 Thieves,Nuke,14 - 16,L
27/02/20,100 Thieves,Dust2,8 - 16,L
27/02/20,100 Thieves,Inferno,16 - 10,W
27/02/20,MAD Lions,Dust2,16 - 4,W
27/02/20,MAD Lions,Train,16 - 8,W
26/02/20,G2,Nuke,7 - 16,L
26/02/20,G2,Inferno,6 - 16,L
26/02/20,G2,Dust2,16 - 13,W
24/02/20,TYLOO,Dust2,16 - 10,W
24/02/20,TYLOO,Inferno,16 - 5,W
06/02/20,Natus Vincere,Nuke,16 - 9,W
06/02/20,Natus Vincere,Train,11 - 16,L
06/02/20,Natus Vincere,Inferno,16 - 8,W
06/02/20,Natus Vincere,Dust2,16 - 14,W
05/02/20,MAD Lions,Nuke,16 - 12,W
05/02/20,MAD Lions,Dust2,16 - 4,W
05/02/20,MAD Lions,Vertigo,13 - 16,L
02/02/20,Virtus.pro,Train,16 - 14,W
02/02/20,Virtus.pro,Vertigo,16 - 9,W
01/02/20,MAD Lions,Dust2,16 - 11,W
01/02/20,MAD Lions,Mirage,19 - 15,W
22/12/19,Vitality,Nuke,9 - 16,L
22/12/19,Vitality,Mirage,12 - 16,L
22/12/19,Vitality,Inferno,19 - 16,W
22/12/19,Evil Geniuses,Overpass,16 - 14,W
22/12/19,Evil Geniuses,Train,16 - 12,W
18/12/19,Evil Geniuses,Inferno,16 - 4,W
18/12/19,Evil Geniuses,Train,16 - 11,W
18/12/19,Virtus.pro,Dust2,22 - 19,W
18/12/19,Virtus.pro,Mirage,16 - 11,W
18/12/19,Virtus.pro,Inferno,11 - 16,L
16/12/19,G2,Train,16 - 14,W
16/12/19,G2,Vertigo,1 - 16,L
16/12/19,G2,Mirage,19 - 17,W
15/12/19,OG,Dust2,16 - 12,W
15/12/19,OG,Inferno,16 - 5,W
15/12/19,OG,Mirage,12 - 16,L
15/12/19,FURIA,Vertigo,16 - 5,W
15/12/19,FURIA,Mirage,16 - 9,W
14/12/19,MIBR,Vertigo,7 - 16,L
14/12/19,MIBR,Mirage,16 - 7,W
13/12/19,G2,Dust2,3 - 16,L
13/12/19,G2,Vertigo,2 - 16,L
12/12/19,Virtus.pro,Vertigo,11 - 16,L
12/12/19,Virtus.pro,Mirage,16 - 6,W
12/12/19,OG,Dust2,16 - 14,W
12/12/19,OG,Mirage,16 - 8,W
08/12/19,fnatic,Mirage,16 - 11,W
08/12/19,fnatic,Train,16 - 10,W
08/12/19,fnatic,Inferno,16 - 11,W
07/12/19,Astralis,Dust2,16 - 14,W
07/12/19,Astralis,Overpass,9 - 16,L
07/12/19,Astralis,Train,22 - 19,W
06/12/19,Evil Geniuses,Nuke,16 - 0,W
06/12/19,Evil Geniuses,Inferno,17 - 19,L
06/12/19,Evil Geniuses,Train,16 - 6,W
05/12/19,ATK,Dust2,16 - 6,W
05/12/19,ATK,Vertigo,16 - 5,W
05/12/19,Renegades,Inferno,16 - 7,W
05/12/19,Renegades,Train,16 - 8,W
05/12/19,Renegades,Nuke,14 - 16,L
04/12/19,Liquid,Dust2,14 - 16,L
04/12/19,Liquid,Vertigo,16 - 12,W
04/12/19,Liquid,Nuke,5 - 16,L
03/12/19,ATK,Nuke,16 - 9,W
24/11/19,ENCE,Inferno,16 - 11,W
24/11/19,ENCE,Train,16 - 10,W
24/11/19,TYLOO,Dust2,16 - 14,W
24/11/19,TYLOO,Inferno,19 - 17,W
24/11/19,TYLOO,Overpass,6 - 16,L
23/11/19,Evil Geniuses,Nuke,16 - 13,W
23/11/19,Evil Geniuses,Overpass,16 - 10,W
21/11/19,ENCE,Dust2,11 - 16,L
21/11/19,ENCE,Inferno,16 - 11,W
21/11/19,ENCE,Mirage,8 - 16,L
20/11/19,AVANGAR,Inferno,16 - 11,W
20/11/19,AVANGAR,Dust2,16 - 11,W
31/10/19,Heroic,Mirage,14 - 16,L
31/10/19,Heroic,Vertigo,13 - 16,L
31/10/19,SMASH,Vertigo,16 - 10,W
31/10/19,SMASH,Dust2,16 - 12,W
30/10/19,CR4ZY,Inferno,16 - 10,W
30/10/19,CR4ZY,Nuke,16 - 0,W
28/10/19,Virtus.pro,Mirage,6 - 16,L
28/10/19,Virtus.pro,Overpass,13 - 16,L
23/10/19,fnatic,Inferno,12 - 16,L
23/10/19,fnatic,Train,17 - 19,L
23/10/19,Invictus,Train,16 - 14,W
23/10/19,Invictus,Dust2,16 - 14,W
21/10/19,North,Train,9 - 16,L
21/10/19,North,Nuke,16 - 5,W
21/10/19,North,Mirage,11 - 16,L
14/10/19,m1x,Inferno,9 - 16,L
14/10/19,m1x,Nuke,16 - 5,W
14/10/19,m1x,Dust2,15 - 19,L
10/10/19,FaZe,Overpass,16 - 12,W
10/10/19,FaZe,Train,19 - 17,W
09/10/19,OpTic,Train,16 - 7,W
09/10/19,OpTic,Vertigo,19 - 15,W
08/10/19,BIG,Inferno,16 - 12,W
08/10/19,BIG,Dust2,7 - 16,L
08/10/19,BIG,Train,16 - 13,W
04/10/19,Vitality,Dust2,13 - 16,L
04/10/19,Vitality,Inferno,16 - 12,W
04/10/19,Vitality,Mirage,14 - 16,L
03/10/19,Grayhound,Mirage,16 - 5,W
03/10/19,Grayhound,Inferno,11 - 16,L
03/10/19,Grayhound,Dust2,16 - 2,W
03/10/19,OpTic,Nuke,16 - 13,W
03/10/19,OpTic,Mirage,16 - 10,W
02/10/19,Evil Geniuses,Train,22 - 20,W
02/10/19,Evil Geniuses,Mirage,16 - 10,W
01/10/19,NiP,Inferno,9 - 16,L
22/09/19,Virtus.pro,Inferno,14 - 16,L
22/09/19,Virtus.pro,Mirage,3 - 16,L
20/09/19,forZe,Dust2,16 - 10,W
20/09/19,forZe,Mirage,19 - 15,W
20/09/19,Heroic,Dust2,16 - 10,W
20/09/19,Heroic,Overpass,16 - 13,W
18/09/19,Tricked,Mirage,22 - 20,W
18/09/19,Tricked,Nuke,14 - 16,L
18/09/19,Tricked,Dust2,16 - 10,W
18/09/19,E-RIVALS,Inferno,16 - 13,W
18/09/19,E-RIVALS,Dust2,16 - 8,W
16/09/19,CR4ZY,Dust2,16 - 13,W
16/09/19,CR4ZY,Inferno,16 - 7,W
16/09/19,forZe,Mirage,16 - 10,W
16/09/19,forZe,Dust2,16 - 4,W
16/09/19,ex-Epsilon,Dust2,16 - 8,W
12/09/19,CR4ZY,Train,16 - 8,W
12/09/19,CR4ZY,Overpass,16 - 5,W
12/09/19,CR4ZY,Dust2,10 - 16,L
11/09/19,GamerLegion,Train,19 - 15,W
11/09/19,GamerLegion,Mirage,16 - 9,W
11/09/19,FATE,Dust2,16 - 8,W
11/09/19,FATE,Inferno,16 - 6,W
